Formula,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,mean_atomic_radius,wtd_mean_atomic_radius,mean_Density,wtd_mean_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,mean_ThermalConductivity,wtd_mean_ThermalConductivity,mean_Valence,wtd_mean_Valence,critical_temp
Ba0.2La1.8Cu1O4,4,88.9444675,57.86269229,160.25,105.5142857,4654.35725,2961.502286,81.8375,111.7271429,107.756645,61.01518857,2.25,2.257142857,29
Ba0.1La1.9Ag0.1Cu0.9O4,5,92.729214,58.51841614,161.2,104.9714286,5821.4858,3021.016571,90.89,112.3164286,172.205316,61.37233143,2,2.257142857,26
Ba0.1La1.9Cu1O4,4,88.9444675,57.88524186,160.25,104.6857143,4654.35725,2999.159429,81.8375,112.2135714,107.756645,60.94376,2.25,2.271428571,19
Ba0.15La1.85Cu1O4,4,88.9444675,57.87396707,160.25,105.1,4654.35725,2980.330857,81.8375,111.9703571,107.756645,60.97947429,2.25,2.264285714,22
Ba0.3La1.7Cu1O4,4,88.9444675,57.84014271,160.25,106.3428571,4654.35725,2923.845143,81.8375,111.2407143,107.756645,61.08661714,2.25,2.242857143,23
Ba0.5La1.5Cu1O4,4,88.9444675,57.79504357,160.25,108,4654.35725,2848.530857,81.8375,110.2678571,107.756645,61.22947429,2.25,2.214285714,23
Ba1La1Cu1O4,4,88.9444675,57.68229571,160.25,112.1428571,4654.35725,2660.245143,81.8375,107.8357143,107.756645,61.58661714,2.25,2.142857143,11
Sr0.1La1.9Cu1O4,4,76.5177175,57.17514186,151.75,104.2,4434.35725,2986.588,79.6075,112.0861429,112.006645,61.18661714,2.25,2.271428571,33
Sr0.15La1.85Cu1O4,4,76.5177175,56.80881707,151.75,104.3714286,4434.35725,2961.473714,79.6075,111.7792143,112.006645,61.34376,2.25,2.264285714,36
Sr0.2La1.8Cu1O4,4,76.5177175,56.44249229,151.75,104.5428571,4434.35725,2936.359429,79.6075,111.4722857,112.006645,61.50090286,2.25,2.257142857,31
Sr0.3La1.7Cu1O4,4,76.5177175,55.70984271,151.75,104.8857143,4434.35725,2886.130857,79.6075,110.8584286,112.006645,61.81518857,2.25,2.242857143,33
Ba0.3La1.7Hg0.3Cu0.7O4,5,111.273574,63.713457,162.4,107.4571429,6430.2858,3119.873714,65.77,106.1664286,87.865316,44.29947429,2.2,2.242857143,26
Ba0.1La1.9Ag0.05Cu0.95O4,5,92.729214,58.201829,161.2,104.8285714,5821.4858,3010.088,90.89,112.265,172.205316,61.15804571,2,2.264285714,27
Ba0.1La1.9Ag0.1Cu0.9O4,5,92.729214,58.51841614,161.2,104.9714286,5821.4858,3021.016571,90.89,112.3164286,172.205316,61.37233143,2,2.257142857,27
Ba0.1La1.9Ag0.25Cu0.75O4,5,92.729214,59.46817757,161.2,105.4,5821.4858,3053.802286,90.89,112.4707143,172.205316,62.01518857,2,2.235714286,26
Ba0.1La1.9Ag0.5Cu0.5O4,5,92.729214,61.05111329,161.2,106.1142857,5821.4858,3108.445143,90.89,112.7278571,172.205316,63.08661714,2,2.2,27
Y1Ba1.5Ca0.5Cu3O7,5,69.17125,47.50531923,170.4,112.2692308,3698.6858,2877.077154,62.564,108.7238462,127.005316,103.3989277,2.2,2.076923077,82
Ba0.15La1.85Cu1O4,4,88.9444675,57.87396707,160.25,105.1,4654.35725,2980.330857,81.8375,111.9703571,107.756645,60.97947429,2.25,2.264285714,30
La1.85Sr0.15Cu1O4,4,76.5177175,56.80881707,151.75,104.3714286,4434.35725,2961.473714,79.6075,111.7792143,112.006645,61.34376,2.25,2.264285714,39
La1.95Sr0.05Cu1O4,4,76.5177175,57.54146664,151.75,104.0285714,4434.35725,3011.702286,79.6075,112.3930714,112.006645,61.02947429,2.25,2.278571429,14.8
La1.9Sr0.1Cu1O4,4,76.5177175,57.17514186,151.75,104.2,4434.35725,2986.588,79.6075,112.0861429,112.006645,61.18661714,2.25,2.271428571,30
La1.775Sr0.225Cu1O4,4,76.5177175,56.25932989,151.75,104.6285714,4434.35725,2923.802286,79.6075,111.3188214,112.006645,61.57947429,2.25,2.253571429,35.5
La1.75Sr0.25Cu1O4,4,76.5177175,56.0761675,151.75,104.7142857,4434.35725,2911.245143,79.6075,111.1653571,112.006645,61.65804571,2.25,2.25,23.3
La1.7Sr0.3Cu1O4,4,76.5177175,55.70984271,151.75,104.8857143,4434.35725,2886.130857,79.6075,110.8584286,112.006645,61.81518857,2.25,2.242857143,18.2
La1.65Sr0.35Cu1O4,4,76.5177175,55.34351793,151.75,105.0571429,4434.35725,2861.016571,79.6075,110.5515,112.006645,61.97233143,2.25,2.235714286,18.3
La1.6Sr0.4Cu1O4,4,76.5177175,54.97719314,151.75,105.2285714,4434.35725,2835.902286,79.6075,110.2445714,112.006645,62.12947429,2.25,2.228571429,18.3
La1.825Sr0.175Cu1O4,4,76.5177175,56.62565468,151.75,104.4571429,4434.35725,2948.916571,79.6075,111.62575,112.006645,61.42233143,2.25,2.260714286,37.5
La1.85Ca0.15Cu1O4,4,64.6322175,55.79005993,145.5,103.8357143,4164.35725,2938.330857,78.9425,111.7222143,153.256645,64.87947429,2.25,2.264285714,20
Yb16Ba1Cu2O,4,97.4816,152.46412,167,207.15,4760.35725,6327.57145,82.3375,61.0875,114.256645,72.101329,2.25,2.8,76.9
Yb1.8Ba0.2Cu1O,4,97.4816,104.627,167,160.8,4760.35725,5372.35725,82.3375,89.5475,114.256645,118.456645,2.25,2.45,65.3
Yb6Ba1Cu1O,4,97.4816,139.4662667,167,197.5555556,4760.35725,5765.714333,82.3375,65.20555556,114.256645,72.44739778,2.25,2.666666667,78.6
Yb1.62La0.18Ba0.18Sr0.02Cu1O,6,102.7419783,102.8417812,180.3333333,159.415,4636.238167,5348.87725,64.23,89.4129,84.17109667,117.371645,2.333333333,2.45,79.3
Y0.4Ba0.6Cu1O,4,76.4445625,65.83464667,164.5,143.2,4235.85725,4285.409667,77.2375,94.70333333,108.756645,139.20886,2.25,2.133333333,90
Y0.4Ba0.6Cu1O,4,76.4445625,65.83464667,164.5,143.2,4235.85725,4285.409667,77.2375,94.70333333,108.756645,139.20886,2.25,2.133333333,90.5
Er0.5Ba0.5Cu1O,4,96.03285,77.27946667,168,144.1666667,5384.35725,5083.143,82.3375,98.625,108.256645,138.8421933,2.25,2.166666667,92
Tm0.35Ba0.65Cu1O,4,96.4516525,75.97830783,167,145.05,5447.85725,4834.976333,82.3375,96.8225,108.756645,139.2255267,2.25,2.116666667,93.2
Tm0.3Ba0.7Cu1O,4,96.4516525,75.451521,167,145.5666667,5447.85725,4738.143,82.3375,96.22166667,108.756645,139.2421933,2.25,2.1,94.4
Tm0.25Ba0.75Cu1O,4,96.4516525,74.92473417,167,146.0833333,5447.85725,4641.309667,82.3375,95.62083333,108.756645,139.25886,2.25,2.083333333,93.2
Tm0.2Ba0.8Cu1O,4,96.4516525,74.39794733,167,146.6,5447.85725,4544.476333,82.3375,95.02,108.756645,139.2755267,2.25,2.066666667,80.5
La2Ba4Cu6O14,4,88.9444675,55.09179,160.25,113.2307692,4654.35725,3081.231,81.8375,110.5846154,107.756645,96.09123538,2.25,2.076923077,48
Y1Ba2Cu3O,4,76.4445625,81.45675,164.5,171.5714286,4235.85725,5481.918429,77.2375,80.6,108.756645,179.0037971,2.25,2.142857143,90
Y1.6Ba2.4Cu3O10,4,76.4445625,48.38036235,164.5,109.4941176,4235.85725,2498.440588,77.2375,110.0905882,108.756645,74.74504706,2.25,2.094117647,90
Y1.2Ba1.8Cu2O7,4,76.4445625,49.41361833,164.5,111.3166667,4235.85725,2467.866917,77.2375,108.5358333,108.756645,71.08217167,2.25,2.1,92
Y0.8Ba1.2Cu1O4,4,76.4445625,51.92295429,164.5,115.7428571,4235.85725,2393.616571,77.2375,104.76,108.756645,62.18661714,2.25,2.114285714,80
Nd0.4Ba0.6Cu1O,4,90.2786,73.2128,163,142.4,4870.35725,4623.809667,82.3375,97.42333333,108.756645,139.20886,2.25,2.133333333,85
Eu0.4Ba0.6Cu1O3,4,92.2091,50.9452,169.25,106.64,4428.85725,2633.5774,82.3375,115.454,108.006645,83.295948,2.25,2.08,8
Gd0.4Ba0.6Cu1O3,4,93.5306,51.36808,169.75,106.8,5093.10725,2846.1374,82.3375,115.454,107.256645,83.055948,2.25,2.08,13
Dy0.4Ba0.6Cu1O3,4,94.8431,51.78808,168.5,106.4,5255.60725,2898.1374,82.3375,115.454,107.256645,83.055948,2.25,2.08,91
Ho0.4Ba0.6Cu1O3,4,95.45068,51.9825056,168,106.24,5316.60725,2917.6574,82.3375,115.454,108.506645,83.455948,2.25,2.08,94
Er0.4Ba0.6Cu1O3,4,96.03285,52.1688,168,106.24,5384.35725,2939.3374,82.3375,115.454,108.256645,83.375948,2.25,2.08,93
Tm0.4Ba0.6Cu1O3,4,96.4516525,52.3028168,167,105.92,5447.85725,2959.6574,82.3375,115.454,108.756645,83.535948,2.25,2.08,93
